filename,slug,quiz_type,mode,question_count,has_explanations,status,warnings
level1_eng_identify_image_verbs.html,eng-identify-image-verbs,mcq,,50,yes,ok,0 warning(s)
level1_eng_identify_past_participle.html,eng-identify-past-participle,mcq,,100,no,ok,0 warning(s)
level1_eng_reading_vocabulary_1.html,eng-reading-vocabulary-1,mcq,,99,yes,ok,0 warning(s)
level1_eng_reading_vocabulary_3.html,eng-reading-vocabulary-3,mcq,,102,yes,ok,0 warning(s)
level1_eng_reading_vocabulary_4.html,eng-reading-vocabulary-4,mcq,,105,yes,ok,0 warning(s)
level1_eng_reading_vocabulary_5.html,eng-reading-vocabulary-5,mcq,,104,yes,ok,0 warning(s)
level1_eng_reading_vocabulary_6.html,eng-reading-vocabulary-6,mcq,,99,yes,ok,0 warning(s)
level_1_eng_sight_words1.html,eng-sight-words1,audio,,100,no,ok,0 warning(s)
level_1_eng_sight_words2.html,eng-sight-words2,audio,,100,no,ok,0 warning(s)
level_1_eng_sight_words3.html,eng-sight-words3,audio,,100,no,ok,0 warning(s)
level1_eng_verbs_pronouns.html,eng-verbs-pronouns,mcq,,20,yes,ok,0 warning(s)
level1_eng_vocabulary.html,eng-vocabulary,mcq,,100,yes,ok,0 warning(s)
level1_eng_vocabulary2.html,eng-vocabulary2,mcq,,101,yes,ok,0 warning(s)
level_1_eng_ question_structures.html,eng-question-structures,mcq,,100,yes,ok,0 warning(s)
level_1_eng_Identify_part1.html,eng-identify-part1,mcq,,50,yes,ok,0 warning(s)
level_1_eng_Identify_part2.html,eng-identify-part2,mcq,,50,yes,ok,0 warning(s)
level_1_eng_Identify_statements.html,eng-identify-statements,mcq,,99,yes,ok,0 warning(s)
level_1_eng_adjectives.html,eng-adjectives,mcq,,100,yes,ok,0 warning(s)
level_1_eng_adverb.html,eng-adverb,mcq,,100,yes,ok,0 warning(s)
level_1_eng_antonym.html,eng-antonym,mcq,,80,yes,ok,0 warning(s)
level_1_eng_cocktails_pronouns.html,eng-cocktails-pronouns,mcq,,100,yes,ok,0 warning(s)
level_1_eng_common_nouns.html,eng-common-nouns,mcq,,100,yes,ok,0 warning(s)
level_1_eng_define.html,eng-define,mcq,,100,yes,ok,0 warning(s)
level_1_eng_identify_cocktails.html,eng-identify-cocktails,mcq,,98,yes,ok,0 warning(s)
level_1_eng_identify_exclamation.html,eng-identify-exclamation,mcq,,98,yes,ok,0 warning(s)
level_1_eng_identify_questions.html,eng-identify-questions,mcq,,100,yes,ok,0 warning(s)
level_1_eng_identify_sentences.html,eng-identify-sentences,mcq,,98,yes,ok,0 warning(s)
level_1_eng_object_pronoun.html,eng-object-pronoun,mcq,,99,yes,ok,0 warning(s)
level_1_eng_preposition.html,eng-preposition,mcq,,100,yes,ok,0 warning(s)
level_1_eng_present_and_past_tense.html,eng-present-and-past-tense,mcq,,99,yes,ok,0 warning(s)
level_1_eng_proper_nouns.html,eng-proper-nouns,mcq,,100,yes,ok,0 warning(s)
level_1_eng_singular_plural.html,eng-singular-plural,mcq,,99,yes,ok,0 warning(s)
level_1_eng_subject_pronoun.html,eng-subject-pronoun,mcq,,102,yes,ok,0 warning(s)
level_1_eng_synonym.html,eng-synonym,mcq,,98,yes,ok,0 warning(s)
level_1_eng_synonym_2.html,eng-synonym-2,mcq,,100,yes,ok,0 warning(s)
level_1_eng_verbs-to_be_past_tense.html,eng-verbs-to-be-past-tense,mcq,,100,yes,ok,0 warning(s)
level_1_eng_verbs-to_be_present_tense.html,eng-verbs-to-be-present-tense,mcq,,99,yes,ok,0 warning(s)
level_1_eng_verbs_in_sentences.html,eng-verbs-in-sentences,mcq,,119,yes,ok,0 warning(s)
level_1_eng_who_how_all.html,eng-who-how-all,mcq,,99,yes,ok,0 warning(s)
level_1_english_verb_have_past_tense.html,english-verb-have-past-tense,mcq,,104,yes,ok,0 warning(s)
level_1_english_verb_to_be_present_tense.html,english-verb-to-be-present-tense,mcq,,100,yes,ok,0 warning(s)
level1_sci_animals.html,sci-animals,mcq,,100,yes,ok,0 warning(s)
level1_sci_biome.html,sci-biome,mcq,,100,yes,ok,0 warning(s)
